time,cmd_dq,state_dq
5.33,-2.44579,-2.31898
5.34,-2.4283,-1.94024
5.35,-2.41056,-2.29241
5.36,-2.39258,-2.33227
5.37,-2.37436,-1.94024
5.38,-2.35591,-1.94024
5.39,-2.33722,-2.02662
5.4,-2.31829,-2.3057
5.41,-2.29914,-2.12629
5.42,-2.27975,-2.12629
5.43,-2.26014,-1.98675
5.44,-2.2403,-2.07978
5.45,-2.22023,-2.3057
5.46,-2.19995,-1.6213
5.47,-2.17944,-2.06649
5.48,-2.15872,-2.01333
5.49,-2.13777,-1.80735
5.5,-2.11662,-1.88708
5.51,-2.09526,-1.84721
5.52,-2.07368,-1.74754
5.53,-2.0519,-2.01333
5.54,-2.02991,-1.56814
5.55,-2.00772,-1.91366
5.56,-1.98533,-2.113
5.57,-1.96274,-1.50169
5.58,-1.93995,-1.52827
5.59,-1.91697,-1.98675
5.6,-1.8938,-1.77412
5.61,-1.87044,-1.96017
5.62,-1.84689,-1.45518
5.63,-1.82316,-1.28906
5.64,-1.79924,-1.54156
5.65,-1.77515,-1.36215
5.66,-1.75087,-1.74754
5.67,-1.72643,-1.83392
5.68,-1.70181,-1.38873
5.69,-1.67701,-1.37544
5.7,-1.65206,-1.10966
5.71,-1.62693,-1.36215
5.72,-1.60165,-1.12295
5.73,-1.5762,-1.1761
5.74,-1.5506,-1.06979
5.75,-1.52484,-1.2492
5.76,-1.49893,-1.14953
5.77,-1.47286,-1.06979
5.78,-1.44666,-1.34222
5.79,-1.4203,-1.34222
5.8,-1.39381,-1.48176
5.81,-1.36717,-1.32893
5.82,-1.3404,-1.27577
5.83,-1.31349,-0.983409
5.84,-1.28646,-0.943541
5.85,-1.25929,-1.30235
5.86,-1.232,-1.13624
5.87,-1.20459,-1.28906
5.88,-1.17705,-0.830582
5.89,-1.1494,-0.85716
5.9,-1.12163,-1.26248
5.91,-1.09375,-0.903673
5.92,-1.06576,-0.764135
5.93,-1.03766,-0.996698
5.94,-1.00947,-0.704333
5.95,-0.981164,-0.830582
5.96,-0.952766,-1.0565
5.97,-0.924272,-0.611308
5.98,-0.895685,-0.790714
5.99,-0.867009,-0.790714
6,-0.838246,-0.578085
6.01,-0.8094,-0.372101
6.02,-0.780472,-0.730912
6.03,-0.751467,-0.651176
6.04,-0.722386,-0.843871
6.05,-0.693233,-0.411969
6.06,-0.664011,-0.48506
6.07,-0.634722,-0.564796
6.08,-0.60537,-0.38539
6.09,-0.575958,-0.538217
6.1,-0.546488,-0.272431
6.11,-0.516963,-0.205984
6.12,-0.487386,-0.166116
6.13,-0.457761,-0.318943
6.14,-0.42809,-0.538217
6.15,-0.398376,-0.438547
6.16,-0.368622,-0.48506
6.17,-0.338831,-0.538217
6.18,-0.309007,-0.0531572
6.19,-0.279152,0.126248
6.2,-0.249268,0.0996698
6.21,-0.21936,-0.0265786
6.22,-0.18943,-0
6.23,-0.159481,-0
6.24,-0.129516,-0
6.25,-0.0995376,0.019934
6.26,-0.0695497,-0
6.27,-0.0395548,0.0332233
6.28,-0.00955591,0.0332233
6.29,0.0204439,-0
6.3,0.0504417,0.019934
6.31,0.0804344,0.019934
6.32,0.110419,0.019934
6.33,0.140393,0.019934
6.34,0.170352,-0
6.35,0.200295,0.019934
6.36,0.230218,0.019934
6.37,0.260117,0.019934
6.38,0.289991,-0
6.39,0.319835,0.019934
6.4,0.349648,0.019934
6.41,0.379425,0.019934
6.42,0.409165,0.0332233
6.43,0.438864,0.0465126
6.44,0.468518,0.0465126
6.45,0.498126,0.0863805
6.46,0.527684,0.18605
6.47,0.55719,0.239208
6.48,0.58664,0.0465126
6.49,0.616031,0.019934
6.5,0.64536,0.019934
6.51,0.674625,0.126248
6.52,0.703822,0.279076
6.53,0.732949,0.378745
6.54,0.762003,0.405324
6.55,0.790981,0.365456
6.56,0.819879,0.631242
6.57,0.848695,0.757491
6.58,0.877427,0.57144
6.59,0.906071,0.724267
6.6,0.934624,0.558151
6.61,0.963084,0.910318
6.62,0.991447,0.644531
6.63,1.01971,0.67111
6.64,1.04787,0.544862
6.65,1.07593,0.963475
6.66,1.10388,0.963475
6.67,1.13172,0.697689
6.68,1.15945,1.00334
6.69,1.18706,0.737557
6.7,1.21455,0.950186
6.71,1.24192,0.936896
6.72,1.26917,0.850516
6.73,1.29629,1.10301
6.74,1.32327,1.38209
6.75,1.35013,0.890384
6.76,1.37685,0.863805
6.77,1.40344,1.32229
6.78,1.42988,1.24255
6.79,1.45618,1.3688
6.8,1.48234,1.10301
6.81,1.50835,1.1163
6.82,1.5342,0.963475
6.83,1.55991,1.1163
6.84,1.58545,1.24255
6.85,1.61084,1.21597
6.86,1.63607,1.29571
6.87,1.66113,1.4884
6.88,1.68603,1.60136
6.89,1.71076,1.4884
6.9,1.73532,1.4884
6.91,1.7597,1.60136
6.92,1.78391,1.62794
6.93,1.80794,1.5482
6.94,1.83179,1.50834
6.95,1.85546,1.26913
6.96,1.87894,1.46182
6.97,1.90223,1.309
6.98,1.92533,1.79406
6.99,1.94824,1.72761
7,1.97096,1.88044
7.01,1.99348,1.57478
7.02,2.0158,1.60136
7.03,2.03791,1.46182
7.04,2.05983,1.9934
7.05,2.08153,1.72761
7.06,2.10303,1.40867
7.07,2.12432,2.18609
7.08,2.1454,1.78077
7.09,2.16626,1.71432
7.1,2.18691,1.98011
7.11,2.20733,1.98011
7.12,2.22754,1.70103
7.13,2.24752,1.90702
7.14,2.26728,1.90702
7.15,2.28681,1.84057
7.16,2.30612,1.93359
7.17,2.32519,1.71432
7.18,2.34403,2.21267
7.19,2.36263,1.82728
7.2,2.381,2.14622
7.21,2.39913,2.00669
7.22,2.41703,2.11964
7.23,2.43468,1.86715
7.24,2.45208,2.09971
7.25,2.46924,2.01997
7.26,2.48616,2.05984
7.27,2.50282,2.04655
